,hurst_exp
872,0.46748977506832484
873,0.45910492315144547
874,0.45070999633072284
875,0.44352610152893057
876,0.43766668573369927
877,0.43144712749663333
878,0.42470926000706105
879,0.4185113388133578
880,0.4088414390066055
881,0.3963505643028897
882,0.38133726610510077
883,0.36730630283461635
884,0.3534881208155442
885,0.3404152012986481
886,0.32760336256973505
887,0.31325870048434556
888,0.2999264726128147
889,0.2875886795430612
890,0.2776410962186794
891,0.26844455173438597
892,0.25845719853997756
893,0.2533721138516407
894,0.2434858563943497
895,0.23618797034170952
896,0.2294763922655507
897,0.22326978751245008
898,0.21541476088626454
899,0.2063229031571678
900,0.19887720820062804
901,0.1943889874650303
902,0.19139907770721876
903,0.18814951725354825
904,0.18677864193936325
905,0.18523812605374182
906,0.1855879241916094
907,0.18830810771060558
908,0.19198712511537439
909,0.19854922270081202
910,0.20821559403648113
911,0.21933128322304393
912,0.22619825890096745
913,0.23411658486425
914,0.24075630275673096
915,0.24634473242753335
916,0.24781282378631048
917,0.25744705221649267
918,0.2669601468068395
919,0.27458002098677853
920,0.27589159014608516
921,0.26485847031018284
922,0.2514703172217178
923,0.24221726056150045
924,0.22672019262071902
925,0.21065622763870115
926,0.19248629861300115
927,0.17927694480810277
928,0.16514936585946774
929,0.15690897051868852
930,0.15008713656604106
931,0.14595954991491794
932,0.14709948216399932
933,0.1532483031829244
934,0.15727548770023866
935,0.1607748483938866
936,0.1677232115803197
937,0.16989150050589377
938,0.17107303441337152
939,0.1795531588917453
940,0.18430942305872694
941,0.1880903325640199
942,0.18630627549699733
943,0.18315750175221807
944,0.18312702241366013
945,0.18410051798218166
946,0.18394154618031172
947,0.18607789223525958
948,0.18597607629597282
949,0.18127141297178137
950,0.17538166846612754
951,0.1718837203493627
952,0.16670574897718546
953,0.16075581314086065
954,0.15335375999527923
955,0.1528851377577806
956,0.14969781827861248
957,0.14919545639735354
958,0.14801481767286734
959,0.1449357106278646
960,0.1455675046509823
961,0.14952546236954473
962,0.14982967074204234
963,0.15530332695688492
964,0.15954574949699413
965,0.15820723614203502
966,0.15872916499478174
967,0.1541576968050741
968,0.1515546068943857
969,0.14321190244069495
970,0.13838638296731193
